,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,target
0,2,0,2,1,0,0,5,18,10,1,0,0,0,145.0,0,0
1,2,0,0,3,1,0,4,54,10,1,0,0,0,139.5,3,0
2,2,0,1,2,0,0,1,99,9,1,0,0,0,125.1,0,1
3,1,0,1,2,1,0,4,56,11,1,0,0,0,209.0,2,0
4,1,0,1,1,1,0,1,10,7,2,0,0,0,137.7,0,0
5,2,0,0,2,2,0,1,377,10,1,0,0,0,115.0,1,1
6,2,0,0,3,1,0,1,57,6,1,0,0,0,117.9,0,1
7,2,0,1,3,1,0,1,65,5,1,0,0,0,119.85,1,0
8,2,0,1,1,2,0,1,301,7,0,0,0,0,115.0,1,1
9,2,0,1,3,1,0,1,9,11,1,0,0,0,120.0,1,0
10,2,0,2,3,1,0,1,192,9,1,0,0,0,19.15,0,1
11,1,0,0,2,1,0,1,52,11,1,0,0,0,90.0,0,1
12,2,0,2,2,1,0,1,72,2,0,0,0,0,60.0,0,0
13,3,0,1,3,1,0,4,111,8,1,0,0,0,137.7,0,1
14,2,0,2,3,1,0,1,62,11,0,0,0,0,75.0,0,0
15,2,0,0,1,1,0,1,4,8,1,0,0,0,121.6,0,1
16,2,0,2,2,0,0,1,18,1,1,0,0,0,65.0,0,0
17,1,0,0,2,1,0,1,99,2,2,0,0,0,81.0,0,0
18,2,0,0,3,1,0,1,37,10,0,0,0,0,105.0,0,0
19,2,0,1,2,1,0,4,36,2,1,0,0,0,61.75,1,0
20,1,0,0,2,1,0,1,192,6,0,0,0,0,95.0,0,0
21,3,0,2,3,1,0,4,23,10,0,0,0,0,105.0,1,0
22,2,0,2,4,0,0,1,217,8,1,0,0,0,80.75,1,0
23,2,0,0,2,1,0,1,43,7,1,0,0,0,117.9,0,1
24,1,0,1,2,1,0,1,5,9,1,0,0,0,78.03,0,0
25,2,0,2,0,1,0,1,13,2,0,0,0,0,87.0,0,0
26,1,0,0,2,2,0,1,265,6,0,0,0,0,87.0,0,0
27,2,0,1,2,0,0,1,244,12,1,0,0,0,80.7,0,1
28,1,0,1,0,1,0,1,12,5,2,0,0,0,93.0,0,0
29,2,0,2,2,1,0,1,99,10,0,0,0,0,65.0,0,1
30,2,2,0,2,1,0,6,92,7,1,0,0,0,177.3,0,1
31,2,0,0,4,0,0,1,84,7,1,0,0,0,94.5,0,1
32,2,0,2,5,1,0,1,14,2,0,0,0,0,43.43,0,0
33,3,0,1,2,1,0,4,27,4,1,0,0,0,177.0,0,1
34,2,1,0,2,1,0,1,7,11,4,0,0,0,0.0,2,0
35,2,0,2,3,1,0,4,19,4,1,0,0,0,131.6,0,1
36,2,0,0,2,0,0,1,5,2,1,0,0,0,81.0,1,0
37,2,0,2,0,1,0,1,74,9,0,0,0,0,102.68,0,0
38,2,0,0,4,1,0,1,256,8,1,0,0,0,90.95,0,1
39,1,0,1,3,0,0,1,6,11,1,0,0,0,49.59,0,0
40,1,0,0,4,1,0,4,92,6,1,0,0,0,132.6,2,0
41,2,0,2,1,1,0,1,19,12,0,0,0,0,58.0,0,0
42,2,2,0,1,1,0,6,36,12,1,0,0,0,206.0,0,0
43,2,0,1,4,1,0,5,54,3,1,0,0,0,95.36,0,0
44,2,0,0,1,1,0,1,5,8,1,0,0,0,130.0,1,0
45,2,0,0,1,1,0,1,1,9,1,0,0,0,105.0,0,0
46,1,0,0,3,1,0,1,1,3,0,0,0,0,75.0,0,0
47,2,0,0,2,0,0,1,19,2,1,0,0,0,81.0,2,0
48,2,0,2,5,1,0,4,10,4,1,0,0,0,128.86,0,1
49,2,0,2,1,0,0,1,240,12,1,0,0,0,67.5,2,1
50,1,0,0,1,1,0,1,13,2,1,0,0,0,85.0,0,0
51,1,0,0,1,0,0,1,0,10,1,0,0,0,84.7,1,1
52,2,0,2,2,1,0,1,77,5,1,0,0,0,126.9,1,0
53,2,0,0,1,0,0,1,182,10,1,0,0,0,98.1,0,1
54,3,0,2,3,1,0,4,127,7,1,0,0,0,141.3,0,0
55,2,0,1,2,1,0,1,224,10,0,0,0,0,65.0,0,0
56,2,0,0,3,2,0,1,7,2,0,0,0,0,116.0,1,0
57,2,0,2,4,1,0,1,261,10,1,0,0,0,93.78,1,0
58,2,0,2,0,2,0,1,386,10,0,0,0,0,115.0,1,1
59,1,0,0,2,1,0,1,30,9,1,0,0,0,85.5,2,0
60,2,0,0,2,1,0,4,110,9,1,0,0,0,149.4,0,1
61,2,0,1,0,1,0,1,15,9,1,0,0,0,99.0,0,1
62,0,2,2,3,1,0,2,185,8,1,0,0,0,84.82,0,1
63,2,0,0,3,1,0,1,204,5,0,0,0,0,100.0,0,1
64,1,0,0,2,2,0,1,273,7,0,0,0,0,87.0,0,0
65,2,0,0,3,1,0,4,19,8,1,0,0,0,156.0,2,0
66,2,2,2,3,1,0,6,178,10,1,0,0,0,162.9,2,1
67,2,0,1,1,0,0,1,268,10,1,0,0,0,95.4,0,1
68,2,0,1,2,0,0,1,175,9,1,0,0,0,104.1,0,1
69,2,0,1,2,2,0,1,309,5,1,0,0,0,101.0,0,1
70,2,0,2,1,0,0,1,18,10,1,0,0,0,120.0,1,1
71,2,0,0,3,0,0,1,54,11,1,0,0,0,57.93,1,0
72,2,0,2,2,1,0,1,30,8,1,0,0,0,111.83,1,0
73,2,0,2,5,2,0,4,115,9,1,0,0,0,141.84,0,0
74,1,0,1,3,1,0,1,113,5,1,0,0,0,89.25,0,1
75,2,0,0,3,1,0,5,34,9,1,0,0,0,152.8,0,0
76,2,0,0,2,1,0,4,55,6,1,0,0,0,113.4,2,0
77,2,0,0,3,1,0,1,22,10,0,0,0,0,95.0,0,0
78,2,0,1,2,1,0,4,91,6,0,0,0,0,90.95,0,1
79,2,2,2,0,1,1,6,112,8,1,0,0,0,198.9,1,0
80,1,0,0,1,1,0,1,4,12,1,0,0,0,97.0,2,0
81,2,0,2,2,2,0,4,64,4,1,0,0,0,144.5,0,0
82,2,0,0,3,1,0,1,43,12,0,0,0,0,118.0,0,0
83,1,0,0,2,1,0,1,188,6,1,0,0,0,130.0,0,1
84,2,0,2,2,1,0,1,0,9,1,0,0,0,126.0,3,0
85,2,0,2,3,1,0,1,46,5,0,0,0,0,86.5,0,0
86,2,0,0,1,0,0,1,77,5,1,0,0,0,116.1,1,0
87,2,0,0,2,2,0,1,39,8,0,0,0,0,101.5,0,0
88,2,0,0,2,1,0,1,59,11,1,0,0,0,93.6,0,1
